date,section,file,change_type,description,expected_impact,commit
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,add,"Ported Featured Cards Carousel section from Deodap source theme — Swiper-based image carousel with per-slide desktop/mobile image swap and link. Schema: image, mobile_image, link per card; custom_class, order_no at section level. Self-contained: no snippet, color-scheme, or theme-setting dependencies. Coexists with Hyper's existing image-cards / lookbook-slider / image-with-text-slider sections.",Makes the section available in the Shopify theme editor with identical behavior to Deodap,9849f03
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.css,add,"Carousel-specific stylesheet copied verbatim from Deodap. Loaded by the section via media=print + onload swap pattern (non-render-blocking).",Provides layout/styling for the carousel slides and Swiper navigation,9849f03
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.js,add,"Swiper initialization script copied verbatim from Deodap. Deferred load.",Initializes the Swiper instance and wires prev/next/pagination,9849f03
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.css,add,"Swiper library stylesheet (vendor) copied verbatim from Deodap.",Provides Swiper's built-in slide and navigation styles,9849f03
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.js,add,"Swiper library script (vendor) copied verbatim from Deodap.",Provides the Swiper carousel runtime,9849f03
2026-05-05,category-grid,sections/category-grid.liquid,add,"New custom section — responsive collection-grid (Top Categories style). Built from scratch because Hyper's existing collection-list lacks per-block separate mobile image, custom URL override, hide-on-mobile flag, and is capped at 3 mobile columns. Self-contained: inline CSS in {% style %} block, no JS, no external assets, no t: locale keys, no theme.settings references. Uses <picture>+<source media> so browser fetches only the matching desktop or mobile image. Per-block: image, mobile_image, title, collection, link override, hide_on_mobile, hide_on_desktop. Per-section: title, columns_desktop (1–6), columns_mobile (2–6), eager_first_row toggle, padding.",LCP-optimized category grid available across both themes; eager_first_row option provides above-the-fold LCP boost,8fc4117
2026-05-05,category-grid,sections/category-grid.liquid,enhance,"Added enable_mobile_slider checkbox setting. When on, the mobile <ul> switches to display:flex with overflow-x:auto and scroll-snap-type:x mandatory; each item gets flex-basis based on columns_mobile so multiple items peek into the viewport for swipe affordance. Pure-CSS — no JS added. Desktop layout (CSS Grid) and all other behavior unchanged. Hidden scrollbar (scrollbar-width:none + ::-webkit-scrollbar display:none) for cleaner mobile UI.",Lets the same section be reused as either a static grid or a swipeable slider on mobile per instance,dbae750
2026-05-05,utility-bar,sections/utility-bar.liquid,add,"Phase 1 of header port — top utility bar (phone/email/store hours on the left, app badges on the right). Built as a self-contained section with enabled_on:[header] so it can be added via the theme editor's header section group without modifying header.liquid. Inline SVGs for phone/envelope icons (no asset deps). Auto-generates tel: and mailto: links from the phone/email text when no override is set. App badges use loading=eager + fetchpriority=low so they appear above-the-fold without competing for LCP. Default hidden on mobile (show_on_mobile toggle). Settings: phone, email, hours, app badges, colors, padding, mobile visibility.",Replicates Deodap's header-top-bar visually without touching header.liquid; non-invasive and reversible,fb0694f
2026-05-05,utility-bar,sections/utility-bar.liquid,enhance,"Replaced hardcoded max-width:1400px with theme's .page-width class on the inner container. Removed horizontal padding from .utility-bar (the colored band) and from the mobile override; .page-width handles its own horizontal padding via --page-width and 1.5rem gutters. The bar now respects the page width configured in theme settings.",Bar inner content aligns with the rest of the storefront's content width,27b4217
2026-05-05,custom-header,sections/custom-header.liquid,add,"Phase 2 of header port — main header bar (logo + search + account + optional wishlist + cart). Self-contained section with enabled_on:[header]; doesn't modify header.liquid. Inline SVG icons (search, account, heart, cart, chevron) — no asset deps. Search posts a standard GET to /search with configurable type filter (products only by default). Account link auto-handles logged-in vs guest using customer + routes.account_login_url. Cart bubble reads cart.item_count on page render and links to routes.cart_url. Wishlist is optional with custom URL — no app integration assumed. Logo uses srcset (160/240/320/480w) and loading=eager + fetchpriority=high (likely the LCP element). Uses theme .page-width class for inner alignment. Skipped: predictive search dropdown (theme-specific), cart drawer trigger (theme-specific), mobile hamburger (Phase 3). Mobile responsive — labels hide below 990px; search wraps to its own row below 750px.",Replicates Deodap's main header visually as an additive section so the existing header stays functional during transition,21e15fb
